immeubles_appellation_courante,immeubles_date_siecle,immeubles_adresse,immeubles_reference,immeubles_lat,immeubles_long,immeubles_coordonnees_finales,immeubles_geopoint,nom_realisateur,nationalite_realisateur,date_naissance_realisateur,id_lieu_tournage,annee_tournage,type_tournage,nom_tournage,nom_producteur,adresse_lieu,ardt_lieu,tournage_debut,tournage_duree,tournage_fin,coord_x,coord_y,filmLabel,imdbID,visa,cost,geopoint_tournage,id_lieu_tournage_count
,,,,,,,,,,,2016-1,2016,Téléfilm,COUP DE FOUDRE A JAIPUR,Big Band Story,12  Place  Saint Augustin,75008,2016-03-31T00:00:00.000Z,1,2016-03-31T00:00:00.000Z,2.319672,48.875605,,,,,POINT(48.875605 2.319672),1
,,,,,,,,Aditya Chopra,India,1971-05-21T00:00:00Z,2016-10,2016,Long métrage,BEFIKRE,Firstep,Place  Constantin Pecqueur,75018,2016-02-25T00:00:00.000Z,1,2016-02-25T00:00:00.000Z,2.338298,48.8891,BEFIKRE,tt5108476,,,POINT(48.8891 2.338298),1
Chais et entrepôts de Bercy,19e siècle,,PA00086565,2.38929568277143,48.8328051552791,"48.8328051553,2.38929568277",POINT(48.8328051552791 2.38929568277143),André Téchiné,France,1943-03-13T00:00:00Z,2016-100,2016,Long métrage,NOS ANNEES FOLLES,Arprod,53  Avenue  Des Terroirs/musee Des Arts Forains,75012,2016-08-29T00:00:00.000Z,1,2016-08-29T00:00:00.000Z,2.389472,48.83269,,,,,POINT(48.83269 2.389472),1
,,,,,,,,Jean-François Davy,France,1945-05-03T00:00:00Z,2016-1000,2016,Long métrage,VIVE LA CRISE,Les Films Montaigne,Avenue  Montaigne,75008,2016-05-31T00:00:00.000Z,1,2016-05-31T00:00:00.000Z,2.305758,48.86649,,,,,POINT(48.86649 2.305758),1
,,,,,,,,Robin Campillo,France,1962-08-16T00:00:00Z,2016-1001,2016,Long métrage,120 BATTEMENTS PAR MINUTE,Les Films De Pierre,Boulevard  Henri Iv,75004,2016-07-02T00:00:00.000Z,1,2016-07-02T00:00:00.000Z,2.36443,48.85172,120 BATTEMENTS PAR MINUTE,tt6135348,,,POINT(48.85172 2.36443),1
,,,,,,,,James Foley,United States,1953-12-28T00:00:00Z,2016-1002,2016,Long métrage,FREED,Peninsula Film,Rue  Scribe,75002,2016-07-18T00:00:00.000Z,2,2016-07-19T00:00:00.000Z,2.347594,48.865085,,,,,POINT(48.865085 2.347594),1
,,,,,,,,,,,2016-1004,2016,Long métrage,TUDO BOM TUDO BEM,Mact Productions,24  Rue  Rene Boulanger,75010,2016-10-11T00:00:00.000Z,1,2016-10-11T00:00:00.000Z,2.362228,48.86845,,,,,POINT(48.86845 2.362228),1
,,,,,,,,Guillaume Gallienne,France,1972-02-08T00:00:00Z,2016-1005,2016,Long métrage,MARYLINE,Lgm Films,Square  Cambronne,75015,2016-10-12T00:00:00.000Z,2,2016-10-13T00:00:00.000Z,2.302495,48.843524,MARYLINE,tt5966600,,,POINT(48.843524 2.302495),1
,,,,,,,,Dominique Rocher,France,1983-01-01T00:00:00Z,2016-1006,2016,Long métrage,NUIT A DEVORE LE MONDE,Haut Et Court,Place  Ernest Denis,75006,2016-11-28T00:00:00.000Z,4,2016-12-01T00:00:00.000Z,2.328205,48.848597,,,,,POINT(48.848597 2.328205),1
Immeuble,,14 place Dauphine ; 27 quai de l'Horloge,PA00085862,2.3426884356123,48.8569346373397,"48.8569346373,2.34268843561",POINT(48.8569346373397 2.3426884356123),Zabou Breitman,France,1959-10-30T00:00:00Z,2016-1007,2016,Série TV,CHRONIQUES PARISIENNES,Les Films Du Kiosque,Quai  De Conti,75001,2016-10-01T00:00:00.000Z,1,2016-10-01T00:00:00.000Z,2.3428269999999998,48.85694,,,,,POINT(48.85694 2.3428269999999998),1
,,,,,,,,Frédéric Mermoud,Switzerland,1969-01-01T00:00:00Z,2016-1008,2016,Série TV,ENGRENAGES /N° 7 A 12,Son Et Lumiere,23/25  Avenue  Franklin Roosevelt,75008,2016-11-01T00:00:00.000Z,1,2016-11-01T00:00:00.000Z,2.309987,48.867086,,,,,POINT(48.867086 2.309987),1
,,,,,,,,,,,2016-1009,2016,Série TV,JUSTE UN REGARD,Vab,25  Rue  Laurence Savart,75020,2016-11-04T00:00:00.000Z,1,2016-11-04T00:00:00.000Z,2.393778,48.868242,,,,,POINT(48.868242 2.393778),1
Statue de Jeanne d'Arc,19e siècle,place des Pyramides,PA00086007,2.33220881364947,48.8639094663205,"48.8639094663,2.33220881365",POINT(48.8639094663205 2.33220881364947),Nicolas Bary,France,1980-11-28T00:00:00Z,2016-101,2016,Long métrage,PETIT SPIROU,Les Films Du Cap,Place  Des Pyramides/hotel Regina,75001,2016-09-08T00:00:00.000Z,1,2016-09-08T00:00:00.000Z,2.332365,48.86396,PETIT SPIROU,tt6194538,,,POINT(48.86396 2.332365),1
,,,,,,,,Éric Guirado,France,1968-09-16T00:00:00Z,2016-1010,2016,Téléfilm,UNE FEMME D'EXCEPTION,Cineteve,2/4  Rue  Du Pasteur Marc Boegner,75016,2016-09-07T00:00:00.000Z,1,2016-09-07T00:00:00.000Z,2.281289,48.863101,UNE FEMME D'EXCEPTION,tt4669788,,,POINT(48.863101 2.281289),1
,,,,,,,,,,,2016-1011,2016,Série TV,O MATTEI/N°13 ET 14,Lgm Cinema,Parc  Du Champ De Mars,75007,2016-03-09T00:00:00.000Z,2,2016-03-10T00:00:00.000Z,2.304772,48.854395,,,,,POINT(48.854395 2.304772),1
,,,,,,,,,,,2016-1012,2016,Série TV,STAY WITH ME,Paris 818 Media,Rue  Foyatier,75018,2016-03-29T00:00:00.000Z,1,2016-03-29T00:00:00.000Z,2.34234,48.885347,,,,,POINT(48.885347 2.34234),1
